ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ  (ΥΠΟΓΡΑΦΗ);ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID1;ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ 2 (ΥΠΟΓΡΑΦΗ);ΣΥΓΓΡΑΦΕΑΣ/ΔΗΜΙΟΥΡΓΟΣ (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID2;ΜΕΤΑΦΡΑΣΤΗΣ;ΜΕΤΑΦΡΑΣΤΗΣ (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID1;ΜΕΤΑΦΡΑΣΤΗΣ 2;ΜΕΤΑΦΡΑΣΤΗΣ  (ΚΑΘΙΕΡΩΜΕΝΟ ΟΝΟΜΑ) ID2;ΤΙΤΛΟΣ ΑΡΘΡΟΥ;ΣΥΝΟΠΤΙΚΟΣ ΤΙΤΛΟΣ ΠΕΡΙΟΔΙΚΟΥ2;journal ID;ΕΤΟΣ ;ΜΗΝΑΣ ;ΤΟΜΟΣ/ΤΕΥΧΟΣ/ΣΕΛΙΔΕΣ;Μετάφρασμα;Είδος;Στήλη;;;;;;;;;;;;
Guillaume Apollinaire;Apollinaire Guillaume;;;Μ. Αναγνωστάκης*;Αναγνωστάκης Μανόλης*;;;4 ποιήματα: Η Αναχώρηση, Το μέλλον, Σκιά;Ξεκίνημα;ΞΚΝΜ;1944;6;τχ. 6-7 (1 και 15 Ιούνη 1944), σ. 138-139;ΝΑΙ;ποίημα;;;;;;;;;;;;;
Αλέξανδρος Κρέιβ;Craib Alexander;;;Αλέξανδρος Παπαδιαμάντης*;Παπαδιαμάντης Αλέξανδρος*;;;Αμερική και Αμερικανοί. Αμερικανικά ξενοδοχεία και ο βίος εν αυτοίς (εκ του συγγράμματος του Αλεξάνδρου Κρέιβ);Νέον Πνεύμα;ΝΕΠΝ;1893;1;τχ. 1 (Ιανουάριος 1893), σ. 105-113;ΝΑΙ;μελέτη/δοκίμιο;;;;;;;;;;;;;
Victor Hugo;Hugo Victor;;;Κ. Θεοφάνους;Θεοφάνους Κώστας;;;Oceano nox;Το Περιοδικό μας;ΠΕΡΜ;1958;7;τχ. 1 (Ιούλιος 1958), σ. 18;ΝΑΙ;ποίημα;;;;;;;;;;;;;
Η-;Αποστολίδης Ηρακλής;Ρ-;Αποστολίδης Ρένος;;;;;[αλληλογραφία];Τα Νέα Ελληνικά;ΝΕΛΛ;1952;5;τχ. 5 (Μάιος 1952), σ. 391;ΟΧΙ;αλληλογραφία;Η Στήλη της Αλληλογραφίας;;;;;;;;;;;;
Ρένος Αποστολίδης;Αποστολίδης Ρένος;Ηρακλής Αποστολίδης;Αποστολίδης Ηρακλής;;;;;Με το μέτωπο ψηλά!;Τα Νέα Ελληνικά;ΝΕΛΛ;1952;6;τχ. 6α (15 Ιουνίου 1952), σ. 457;ΟΧΙ;επικαιρικό σημείωμα;;;;;;;;;;;;;
Ρένος Αποστολίδης;Αποστολίδης Ρένος;;;;;;;"Η Κριτική του Βιβλίου: Το νούμερο 31328 του Ηλία Βενέζη
";Τα Νέα Ελληνικά;ΝΕΛΛ;1952;5;τχ. 5 (Μάιος 1952), 385-388.;ΟΧΙ;κριτική;Η Κριτική του Βιβλίου;;;;;;;;;;;;
Ειρηναίος Ασώπιος;Ασώπιος Ειρηναίος;;;;;;;Πρόλογος;Χρυσαλλίς;ΧΡΥΣ;1863;1;φυλλάδιο 1 (1 Ιανουαρίου 1863), σ. 1-3;;σημείωμα της σύνταξης;;;;;;;;;;;;;
Γ. Βώκος;Βώκος Γεράσιμος;;;;;;;’Στο τουρκικό σχολείο. (Θεσσαλική ανάμνησις);Νέον Πνεύμα;ΝΕΠΝ;1894;6;τχ. 24 (16η Ιουνίου 1894), σ. 409- 413;ΟΧΙ;πεζογράφημα;;;;;;;;;;;;;
Πίτσα Γαλάζη;Γαλάζη Πίτσα;;;;;;;Συνέντευξη με τη Δαλμάτη;Επιθεώρηση Λόγου και Τέχνης;ΕΛΤΕ;1970;1;τχ. 1 (Ιανουάριος 1970), σ. 17-19;ΟΧΙ;συνέντευξη;;;;;;;;;;;;;
Μιχάλης Γιωργάς;Γεωργάς Μιχάλης;;;;;;;Το θέατρο: ποίηση και σκηνή;Το Περιοδικό μας;ΠΕΡΜ;1958;7;τχ. 1 (Ιούλιος 1958), σ. 23;ΟΧΙ;κριτική;Πνευματική καλλιτεχνική ζωή;;;;;;;;;;;;
